run_id,experiment,seed,ants,alpha,beta,rho,tau_init,variant,best_cost,runtime_s
1,E1_base,42,10,1.0,2.0,0.5,1.0,base,1292,0.5898227080178913
2,E1_base,123,10,1.0,2.0,0.5,1.0,base,1282,0.5643606249941513
3,E1_base,256,10,1.0,2.0,0.5,1.0,base,1282,0.5499859580013435
4,E1_base,789,10,1.0,2.0,0.5,1.0,base,1260,0.5598014169954695
5,E1_base,1024,10,1.0,2.0,0.5,1.0,base,1290,0.5613241249811836
6,E2_pop_5,42,5,1.0,2.0,0.5,1.0,ants=5,1318,0.2887377919978462
7,E2_pop_5,123,5,1.0,2.0,0.5,1.0,ants=5,1308,0.2790488750033546
8,E2_pop_5,256,5,1.0,2.0,0.5,1.0,ants=5,1304,0.28593266700045206
9,E2_pop_5,789,5,1.0,2.0,0.5,1.0,ants=5,1272,0.28362174998619594
10,E2_pop_5,1024,5,1.0,2.0,0.5,1.0,ants=5,1306,0.2921236249967478
11,E2_pop_20,42,20,1.0,2.0,0.5,1.0,ants=20,1294,1.1403234169993084
12,E2_pop_20,123,20,1.0,2.0,0.5,1.0,ants=20,1278,1.1317739580117632
13,E2_pop_20,256,20,1.0,2.0,0.5,1.0,ants=20,1258,1.110923208994791
14,E2_pop_20,789,20,1.0,2.0,0.5,1.0,ants=20,1266,1.1200608750223182
15,E2_pop_20,1024,20,1.0,2.0,0.5,1.0,ants=20,1274,1.1086318330198992
16,E3_tau_0.1,42,20,1.0,2.0,0.5,0.1,tau0=0.1,1296,1.1283570420055185
17,E3_tau_0.1,123,20,1.0,2.0,0.5,0.1,tau0=0.1,1284,1.110885000001872
18,E3_tau_0.1,256,20,1.0,2.0,0.5,0.1,tau0=0.1,1280,1.1437365839956328
19,E3_tau_0.1,789,20,1.0,2.0,0.5,0.1,tau0=0.1,1282,1.114943459018832
20,E3_tau_0.1,1024,20,1.0,2.0,0.5,0.1,tau0=0.1,1272,1.132527209003456
21,E3_tau_5.0,42,20,1.0,2.0,0.5,5.0,tau0=5.0,1264,1.1328488330182154
22,E3_tau_5.0,123,20,1.0,2.0,0.5,5.0,tau0=5.0,1256,1.1424527089984622
23,E3_tau_5.0,256,20,1.0,2.0,0.5,5.0,tau0=5.0,1266,1.1497507079911884
24,E3_tau_5.0,789,20,1.0,2.0,0.5,5.0,tau0=5.0,1268,1.1309852080012206
25,E3_tau_5.0,1024,20,1.0,2.0,0.5,5.0,tau0=5.0,1276,1.1187531670148019
26,E4_rho_0.2,42,20,1.0,2.0,0.2,5.0,rho=0.2,1256,1.1272032920096535
27,E4_rho_0.2,123,20,1.0,2.0,0.2,5.0,rho=0.2,1278,1.117271333001554
28,E4_rho_0.2,256,20,1.0,2.0,0.2,5.0,rho=0.2,1258,1.147129707998829
29,E4_rho_0.2,789,20,1.0,2.0,0.2,5.0,rho=0.2,1280,1.1293143749935552
30,E4_rho_0.2,1024,20,1.0,2.0,0.2,5.0,rho=0.2,1244,1.1194001249969006
31,E4_rho_0.8,42,20,1.0,2.0,0.8,5.0,rho=0.8,1236,1.1495697079808451
32,E4_rho_0.8,123,20,1.0,2.0,0.8,5.0,rho=0.8,1288,1.1634138750087004
33,E4_rho_0.8,256,20,1.0,2.0,0.8,5.0,rho=0.8,1256,1.1362220830051228
34,E4_rho_0.8,789,20,1.0,2.0,0.8,5.0,rho=0.8,1254,1.1510880420100875
35,E4_rho_0.8,1024,20,1.0,2.0,0.8,5.0,rho=0.8,1268,1.13223720798851
36,E5_alpha0,42,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1294,1.11309858399909
37,E5_alpha0,123,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1262,1.0992674590088427
38,E5_alpha0,256,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1256,1.1071997079998255
39,E5_alpha0,789,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1304,1.1108552500081714
40,E5_alpha0,1024,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1284,1.0862644580192864
41,E6_beta0,42,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1342,0.40000024999608286
42,E6_beta0,123,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1286,0.3985069170012139
43,E6_beta0,256,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1294,0.39772666699718684
44,E6_beta0,789,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1352,0.3986412090016529
45,E6_beta0,1024,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1286,0.39884158299537376
46,E7_q0,42,20,1.0,2.0,0.8,5.0,q0=0.5,1236,1.038861832988914
47,E7_q0,123,20,1.0,2.0,0.8,5.0,q0=0.5,1318,1.0678655419906136
48,E7_q0,256,20,1.0,2.0,0.8,5.0,q0=0.5,1318,1.0675483329978306
49,E7_q0,789,20,1.0,2.0,0.8,5.0,q0=0.5,1344,1.0461844169767573
50,E7_q0,1024,20,1.0,2.0,0.8,5.0,q0=0.5,1296,1.0329997919907328
51,E8_local,42,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1288,1.1358902079809923
52,E8_local,123,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1276,1.15418829099508
53,E8_local,256,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1230,1.1470007919997443
54,E8_local,789,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1268,1.1499056250031572
55,E8_local,1024,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1292,1.1358631250041071
56,E9_elitist,42,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1204,1.1347620830056258
57,E9_elitist,123,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1226,1.164506416011136
58,E9_elitist,256,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1196,1.140772749989992
59,E9_elitist,789,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1196,1.13595825000084
60,E9_elitist,1024,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1226,1.1441128750157077
