run_id,experiment,seed,ants,alpha,beta,rho,tau_init,variant,best_cost,runtime_s,best_perm_str
1,E1_base,42,10,1.0,2.0,0.5,1.0,base,1292,0.5898227080178913,"[14, 13, 9, 4, 2, 11, 3, 5, 1, 10, 6, 0, 8, 7, 12]"
2,E1_base,123,10,1.0,2.0,0.5,1.0,base,1282,0.5643606249941513,"[10, 12, 11, 13, 3, 8, 6, 5, 1, 14, 0, 4, 7, 2, 9]"
3,E1_base,256,10,1.0,2.0,0.5,1.0,base,1282,0.5499859580013435,"[4, 3, 2, 7, 6, 13, 11, 1, 5, 14, 0, 10, 9, 8, 12]"
4,E1_base,789,10,1.0,2.0,0.5,1.0,base,1260,0.5598014169954695,"[4, 14, 11, 6, 3, 5, 2, 9, 13, 0, 8, 1, 12, 7, 10]"
5,E1_base,1024,10,1.0,2.0,0.5,1.0,base,1290,0.5613241249811836,"[9, 14, 3, 4, 11, 5, 6, 13, 12, 10, 2, 7, 8, 1, 0]"
6,E2_pop_5,42,5,1.0,2.0,0.5,1.0,ants=5,1318,0.2887377919978462,"[5, 0, 7, 13, 8, 3, 11, 6, 10, 14, 12, 9, 1, 2, 4]"
7,E2_pop_5,123,5,1.0,2.0,0.5,1.0,ants=5,1308,0.2790488750033546,"[3, 8, 11, 4, 12, 9, 0, 7, 6, 14, 5, 10, 1, 2, 13]"
8,E2_pop_5,256,5,1.0,2.0,0.5,1.0,ants=5,1304,0.28593266700045206,"[13, 12, 3, 8, 11, 10, 9, 14, 1, 5, 4, 0, 2, 7, 6]"
9,E2_pop_5,789,5,1.0,2.0,0.5,1.0,ants=5,1272,0.28362174998619594,"[9, 8, 7, 6, 5, 10, 2, 3, 14, 1, 4, 0, 13, 12, 11]"
10,E2_pop_5,1024,5,1.0,2.0,0.5,1.0,ants=5,1306,0.2921236249967478,"[0, 3, 2, 1, 6, 14, 12, 7, 5, 9, 10, 11, 8, 13, 4]"
11,E2_pop_20,42,20,1.0,2.0,0.5,1.0,ants=20,1294,1.1403234169993084,"[12, 1, 8, 9, 0, 3, 13, 11, 6, 14, 10, 5, 7, 2, 4]"
12,E2_pop_20,123,20,1.0,2.0,0.5,1.0,ants=20,1278,1.1317739580117632,"[14, 9, 6, 1, 4, 5, 3, 11, 7, 10, 12, 13, 8, 2, 0]"
13,E2_pop_20,256,20,1.0,2.0,0.5,1.0,ants=20,1258,1.110923208994791,"[5, 10, 11, 12, 3, 14, 8, 0, 1, 13, 2, 4, 6, 7, 9]"
14,E2_pop_20,789,20,1.0,2.0,0.5,1.0,ants=20,1266,1.1200608750223182,"[14, 13, 7, 2, 0, 9, 1, 11, 5, 3, 10, 6, 12, 8, 4]"
15,E2_pop_20,1024,20,1.0,2.0,0.5,1.0,ants=20,1274,1.1086318330198992,"[14, 4, 6, 11, 12, 5, 8, 13, 2, 0, 3, 1, 9, 7, 10]"
16,E3_tau_0.1,42,20,1.0,2.0,0.5,0.1,tau0=0.1,1296,1.1283570420055185,"[11, 1, 8, 12, 10, 9, 7, 6, 0, 4, 5, 3, 2, 13, 14]"
17,E3_tau_0.1,123,20,1.0,2.0,0.5,0.1,tau0=0.1,1284,1.110885000001872,"[10, 0, 11, 5, 4, 14, 8, 2, 3, 12, 7, 13, 1, 6, 9]"
18,E3_tau_0.1,256,20,1.0,2.0,0.5,0.1,tau0=0.1,1280,1.1437365839956328,"[4, 3, 14, 9, 12, 5, 13, 2, 1, 10, 6, 11, 8, 7, 0]"
19,E3_tau_0.1,789,20,1.0,2.0,0.5,0.1,tau0=0.1,1282,1.114943459018832,"[4, 9, 6, 2, 11, 3, 5, 7, 13, 0, 12, 10, 8, 14, 1]"
20,E3_tau_0.1,1024,20,1.0,2.0,0.5,0.1,tau0=0.1,1272,1.132527209003456,"[5, 6, 3, 10, 13, 14, 11, 12, 2, 9, 0, 1, 7, 8, 4]"
21,E3_tau_5.0,42,20,1.0,2.0,0.5,5.0,tau0=5.0,1264,1.1328488330182154,"[9, 14, 2, 4, 5, 10, 11, 13, 7, 0, 12, 1, 8, 3, 6]"
22,E3_tau_5.0,123,20,1.0,2.0,0.5,5.0,tau0=5.0,1256,1.1424527089984622,"[9, 13, 6, 11, 2, 0, 12, 4, 3, 5, 14, 10, 8, 7, 1]"
23,E3_tau_5.0,256,20,1.0,2.0,0.5,5.0,tau0=5.0,1266,1.1497507079911884,"[4, 3, 6, 9, 11, 5, 14, 1, 12, 10, 8, 13, 2, 7, 0]"
24,E3_tau_5.0,789,20,1.0,2.0,0.5,5.0,tau0=5.0,1268,1.1309852080012206,"[3, 2, 6, 0, 12, 11, 7, 1, 9, 5, 4, 14, 8, 13, 10]"
25,E3_tau_5.0,1024,20,1.0,2.0,0.5,5.0,tau0=5.0,1276,1.1187531670148019,"[11, 12, 3, 1, 4, 5, 2, 13, 14, 10, 8, 9, 7, 6, 0]"
26,E4_rho_0.2,42,20,1.0,2.0,0.2,5.0,rho=0.2,1256,1.1272032920096535,"[14, 13, 6, 7, 11, 1, 12, 3, 9, 5, 4, 10, 8, 2, 0]"
27,E4_rho_0.2,123,20,1.0,2.0,0.2,5.0,rho=0.2,1278,1.117271333001554,"[11, 10, 8, 12, 1, 5, 13, 3, 2, 14, 4, 9, 7, 6, 0]"
28,E4_rho_0.2,256,20,1.0,2.0,0.2,5.0,rho=0.2,1258,1.147129707998829,"[6, 11, 12, 13, 3, 14, 10, 5, 1, 9, 0, 2, 7, 8, 4]"
29,E4_rho_0.2,789,20,1.0,2.0,0.2,5.0,rho=0.2,1280,1.1293143749935552,"[9, 4, 1, 14, 6, 5, 7, 2, 8, 10, 12, 11, 3, 13, 0]"
30,E4_rho_0.2,1024,20,1.0,2.0,0.2,5.0,rho=0.2,1244,1.1194001249969006,"[0, 1, 7, 2, 3, 13, 12, 5, 11, 4, 10, 9, 6, 8, 14]"
31,E4_rho_0.8,42,20,1.0,2.0,0.8,5.0,rho=0.8,1236,1.1495697079808451,"[4, 14, 2, 13, 6, 10, 9, 8, 7, 0, 3, 1, 12, 11, 5]"
