Experiment,Runs,Mean,Std,Min,Max,Avg Runtime
E1: Base ACO,5,1281.2,12.7,1260,1292,0.57s
E2: 5 Ants,5,1301.6,17.4,1272,1318,0.29s
E2: 20 Ants,5,1274.0,13.6,1258,1294,1.12s
E3: tau=0.1,5,1282.8,8.7,1272,1296,1.13s
E3: tau=5.0,5,1266.0,7.2,1256,1276,1.13s
E4: rho=0.2,5,1263.2,15.4,1244,1280,1.13s
E4: rho=0.8,5,1260.4,19.2,1236,1288,1.15s
E5: alpha=0,5,1280.0,20.5,1256,1304,1.10s
E6: beta=0,5,1312.0,32.3,1286,1352,0.40s
E7: q0=0.5,5,1302.4,40.8,1236,1344,1.05s
E8: Local Update,5,1270.8,24.7,1230,1292,1.14s
E9: Elitist,5,1209.6,15.3,1196,1226,1.14s
